Data,Descrição,Valor
25/03/2024,SALARIO,4000.0
26/03/2024,SUPERMERCADO,-150.0
27/03/2024,UBER,-35.0
28/03/2024,NETFLIX,-39.9
29/03/2024,IFOOD,-75.5
30/03/2024,COMBUSTIVEL,-120.0
31/03/2024,FARMACIA,-45.0
01/04/2024,SHOPPING,-300.0
02/04/2024,CONSULTA,-180.0
03/04/2024,TRANSFERENCIA,500.0
04/04/2024,CINEMA CINEMARK,-92.08
06/04/2024,CINEMA CINEMARK,-281.74
07/04/2024,ACADEMIA SMART FIT,-263.73
09/04/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-363.16
11/04/2024,RESTAURANTE BOM SABOR,-63.42
13/04/2024,APOSENTADORIA INSS,1063.05
14/04/2024,ASSINATURA NETFLIX,-273.35
17/04/2024,RESTAURANTE BOM SABOR,-221.21
20/04/2024,PAGAMENTO CONTA DE AGUA - SABESP,-119.07
22/04/2024,RECEBIMENTO DE ALUGUEL,959.55
25/04/2024,PAGAMENTO DE CLIENTE,1472.9
27/04/2024,ACADEMIA SMART FIT,-321.11
29/04/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-232.23
02/05/2024,LOJA DE ROUPAS RENNER,-69.9
03/05/2024,CONSULTA MEDICA - DR. CARLOS,-234.71
04/05/2024,UBER VIAGEM,-286.72
07/05/2024,SUPERMERCADO CARREFOUR,-462.68
08/05/2024,LOJA DE ROUPAS RENNER,-226.33
09/05/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-190.34
12/05/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-434.16
14/05/2024,RESTAURANTE BOM SABOR,-207.41
16/05/2024,PADARIA PÃO QUENTE,-24.7
19/05/2024,PADARIA PÃO QUENTE,-85.4
22/05/2024,COMPRA NO SHOPPING IGUATEMI,-260.66
23/05/2024,CONSULTORIA FREELANCE,1373.34
26/05/2024,PAGAMENTO CONTA DE LUZ - ENEL,-563.28
29/05/2024,LOJA DE ROUPAS RENNER,-156.68
01/06/2024,CONSULTA MEDICA - DR. CARLOS,-195.18
02/06/2024,PAGAMENTO CONTA DE AGUA - SABESP,-605.74
05/06/2024,SUPERMERCADO CARREFOUR,-56.94
08/06/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-742.44
11/06/2024,APOSENTADORIA INSS,1821.56
14/06/2024,ASSINATURA NETFLIX,-625.32
16/06/2024,IFOOD PEDIDO,-38.06
17/06/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-437.11
19/06/2024,SUPERMERCADO CARREFOUR,-425.36
21/06/2024,ACADEMIA SMART FIT,-370.08
23/06/2024,PAGAMENTO CONTA DE LUZ - ENEL,-664.91
26/06/2024,LOJA DE ROUPAS RENNER,-634.18
29/06/2024,RESTITUICAO IMPOSTO DE RENDA,1094.27
30/06/2024,PAGAMENTO CONTA DE AGUA - SABESP,-627.41
01/07/2024,PAGAMENTO CONTA DE AGUA - SABESP,-616.2
02/07/2024,PADARIA PÃO QUENTE,-642.69
04/07/2024,APOSENTADORIA INSS,417.8
07/07/2024,POSTO IPIRANGA - COMBUSTIVEL,-572.6
08/07/2024,ACADEMIA SMART FIT,-105.43
09/07/2024,CINEMA CINEMARK,-226.45
10/07/2024,PAGAMENTO CONTA DE AGUA - SABESP,-363.32
13/07/2024,CONSULTA MEDICA - DR. CARLOS,-122.28
14/07/2024,PAGAMENTO ALUGUEL,-118.5
17/07/2024,PAGAMENTO CONTA DE AGUA - SABESP,-452.14
18/07/2024,RESTAURANTE BOM SABOR,-562.59
20/07/2024,ACADEMIA SMART FIT,-430.67
22/07/2024,POSTO IPIRANGA - COMBUSTIVEL,-436.1
24/07/2024,ACADEMIA SMART FIT,-24.22
27/07/2024,COMPRA NO SHOPPING IGUATEMI,-435.85
30/07/2024,POSTO IPIRANGA - COMBUSTIVEL,-99.78
02/08/2024,LOJA DE ROUPAS RENNER,-64.67
04/08/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-560.34
05/08/2024,POSTO IPIRANGA - COMBUSTIVEL,-227.0
06/08/2024,RESTITUICAO IMPOSTO DE RENDA,1166.98
09/08/2024,LOJA DE ROUPAS RENNER,-49.39
12/08/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-434.67
13/08/2024,CINEMA CINEMARK,-690.15
15/08/2024,SALARIO - EMPRESA XYZ,1717.5
18/08/2024,COMPRA NO SHOPPING IGUATEMI,-140.29
20/08/2024,SUPERMERCADO CARREFOUR,-304.56
22/08/2024,PAGAMENTO CONTA DE LUZ - ENEL,-720.38
24/08/2024,PAGAMENTO CONTA DE LUZ - ENEL,-73.25
26/08/2024,FARMACIA DROGASIL,-384.04
27/08/2024,PAGAMENTO ALUGUEL,-600.3
30/08/2024,COMPRA NO SHOPPING IGUATEMI,-584.71
02/09/2024,ASSINATURA NETFLIX,-162.79
03/09/2024,UBER VIAGEM,-565.02
06/09/2024,PADARIA PÃO QUENTE,-225.43
09/09/2024,CONSULTA MEDICA - DR. CARLOS,-362.96
12/09/2024,RECEBIMENTO DE ALUGUEL,1435.95
14/09/2024,CINEMA CINEMARK,-117.95
15/09/2024,PAGAMENTO ALUGUEL,-398.58
16/09/2024,LOJA DE ROUPAS RENNER,-32.93
