Data;Descrição;Valor;Tipo
10/03/2024;SALARIO - STARTUP TECH LTDA;5500.00;CREDITO
11/03/2024;DEBITO AUTOMATICO - FINANCIAMENTO IMOVEL;-2200.00;DEBITO
12/03/2024;COMPRA CARTAO - SUPERMERCADO WALMART;-189.75;DEBITO
13/03/2024;TRANSFERENCIA PIX - PAGAMENTO FACULDADE;-1200.00;DEBITO
14/03/2024;COMPRA CARTAO - RESTAURANTE MEXICANO;-95.00;DEBITO
15/03/2024;DEBITO AUTOMATICO - SEGURO VIDA;-180.00;DEBITO
16/03/2024;COMPRA CARTAO - LOJA DE ELETRONICOS;-450.00;DEBITO
17/03/2024;TRANSFERENCIA RECEBIDA - CONSULTORIA;2500.00;CREDITO
18/03/2024;COMPRA CARTAO - FARMACIA PANVEL;-89.30;DEBITO
19/03/2024;DEBITO AUTOMATICO - GAS NATURAL;-65.50;DEBITO 
