Data,Descrição,Valor,Saldo
25/01/2024,APOSENTADORIA INSS,2800.00,2800.00
26/01/2024,DEBITO AUTOMATICO - CONDOMINIO,-350.00,2450.00
27/01/2024,COMPRA CARTAO - SHOPPING IGUATEMI,-450.00,2000.00
28/01/2024,TRANSFERENCIA PIX - PAGAMENTO CONTA,-150.00,1850.00
29/01/2024,COMPRA CARTAO - RESTAURANTE JAPONES,-180.00,1670.00
30/01/2024,DEBITO AUTOMATICO - SEGURO AUTO,-120.00,1550.00
31/01/2024,COMPRA CARTAO - LIVRARIA CULTURA,-95.00,1455.00
01/02/2024,TRANSFERENCIA RECEBIDA - ALUGUEL,2000.00,3455.00
02/02/2024,COMPRA CARTAO - ACADEMIA SMART FIT,-89.90,3365.10
03/02/2024,DEBITO AUTOMATICO - ENERGIA ELETRICA,-120.50,3244.60 
