Data;Descrição;Valor;Tipo
10/03/2024;SALARIO - STARTUP TECH LTDA;5500.0;CREDITO
11/03/2024;DEBITO AUTOMATICO - FINANCIAMENTO IMOVEL;-2200.0;DEBITO
12/03/2024;COMPRA CARTAO - SUPERMERCADO WALMART;-189.75;DEBITO
13/03/2024;TRANSFERENCIA PIX - PAGAMENTO FACULDADE;-1200.0;DEBITO
14/03/2024;COMPRA CARTAO - RESTAURANTE MEXICANO;-95.0;DEBITO
15/03/2024;DEBITO AUTOMATICO - SEGURO VIDA;-180.0;DEBITO
16/03/2024;COMPRA CARTAO - LOJA DE ELETRONICOS;-450.0;DEBITO
17/03/2024;TRANSFERENCIA RECEBIDA - CONSULTORIA;2500.0;CREDITO
18/03/2024;COMPRA CARTAO - FARMACIA PANVEL;-89.3;DEBITO
19/03/2024;DEBITO AUTOMATICO - GAS NATURAL;-65.5;DEBITO 
22/03/2024;FARMACIA DROGASIL;-50.14;DEBITO
25/03/2024;POSTO IPIRANGA - COMBUSTIVEL;-286.12;DEBITO
27/03/2024;IFOOD PEDIDO;-237.24;DEBITO
28/03/2024;DEBITO AUTOMATICO - SEGURO DE VIDA;-411.68;DEBITO
30/03/2024;POSTO IPIRANGA - COMBUSTIVEL;-206.29;DEBITO
01/04/2024;COMPRA NO SHOPPING IGUATEMI;-63.21;DEBITO
04/04/2024;FARMACIA DROGASIL;-481.77;DEBITO
07/04/2024;SUPERMERCADO CARREFOUR;-242.34;DEBITO
10/04/2024;PAGAMENTO DE CLIENTE;1264.79;CREDITO
13/04/2024;ASSINATURA NETFLIX;-271.95;DEBITO
15/04/2024;RECEBIMENTO DE ALUGUEL;695.05;CREDITO
16/04/2024;FARMACIA DROGASIL;-298.43;DEBITO
17/04/2024;PAGAMENTO CONTA DE LUZ - ENEL;-397.75;DEBITO
18/04/2024;CINEMA CINEMARK;-97.21;DEBITO
21/04/2024;RECEBIMENTO DE ALUGUEL;350.26;CREDITO
24/04/2024;APOSENTADORIA INSS;1067.25;CREDITO
26/04/2024;DEBITO AUTOMATICO - SEGURO DE VIDA;-366.34;DEBITO
27/04/2024;UBER VIAGEM;-442.45;DEBITO
29/04/2024;LOJA DE ROUPAS RENNER;-249.4;DEBITO
02/05/2024;CONSULTORIA FREELANCE;309.91;CREDITO
03/05/2024;PAGAMENTO CONTA DE AGUA - SABESP;-663.72;DEBITO
06/05/2024;RESTAURANTE BOM SABOR;-242.66;DEBITO
07/05/2024;VENDA PRODUTO ONLINE;1087.35;CREDITO
08/05/2024;ACADEMIA SMART FIT;-298.11;DEBITO
09/05/2024;LOJA DE ROUPAS RENNER;-528.76;DEBITO
11/05/2024;CONSULTA MEDICA - DR. CARLOS;-796.42;DEBITO
12/05/2024;PADARIA PÃO QUENTE;-716.53;DEBITO
14/05/2024;PAGAMENTO CONTA DE LUZ - ENEL;-787.62;DEBITO
17/05/2024;CONSULTA MEDICA - DR. CARLOS;-321.59;DEBITO
18/05/2024;SUPERMERCADO CARREFOUR;-351.86;DEBITO
21/05/2024;IFOOD PEDIDO;-433.01;DEBITO
24/05/2024;UBER VIAGEM;-56.37;DEBITO
25/05/2024;PADARIA PÃO QUENTE;-315.55;DEBITO
27/05/2024;FARMACIA DROGASIL;-531.67;DEBITO
30/05/2024;POSTO IPIRANGA - COMBUSTIVEL;-37.01;DEBITO
31/05/2024;LOJA DE ROUPAS RENNER;-362.28;DEBITO
03/06/2024;IFOOD PEDIDO;-60.77;DEBITO
05/06/2024;SUPERMERCADO CARREFOUR;-230.87;DEBITO
06/06/2024;CONSULTA MEDICA - DR. CARLOS;-49.16;DEBITO
09/06/2024;POSTO IPIRANGA - COMBUSTIVEL;-263.04;DEBITO
10/06/2024;SUPERMERCADO CARREFOUR;-641.39;DEBITO
13/06/2024;PAGAMENTO CONTA DE AGUA - SABESP;-97.45;DEBITO
14/06/2024;CONSULTA MEDICA - DR. CARLOS;-613.27;DEBITO
15/06/2024;ACADEMIA SMART FIT;-460.98;DEBITO
17/06/2024;RECEBIMENTO DE ALUGUEL;2462.84;CREDITO
18/06/2024;CONSULTA MEDICA - DR. CARLOS;-236.91;DEBITO
19/06/2024;TRANSFERENCIA RECEBIDA - JOAO SILVA;209.97;CREDITO
22/06/2024;PAGAMENTO CONTA DE AGUA - SABESP;-152.69;DEBITO
23/06/2024;APOSENTADORIA INSS;1389.91;CREDITO
25/06/2024;IFOOD PEDIDO;-342.02;DEBITO
27/06/2024;SUPERMERCADO CARREFOUR;-698.37;DEBITO
29/06/2024;APOSENTADORIA INSS;2034.98;CREDITO
01/07/2024;COMPRA NO SHOPPING IGUATEMI;-393.66;DEBITO
02/07/2024;UBER VIAGEM;-352.8;DEBITO
04/07/2024;IFOOD PEDIDO;-406.82;DEBITO
07/07/2024;POSTO IPIRANGA - COMBUSTIVEL;-179.74;DEBITO
08/07/2024;TRANSFERENCIA RECEBIDA - JOAO SILVA;732.2;CREDITO
10/07/2024;SALARIO - EMPRESA XYZ;303.97;CREDITO
11/07/2024;CINEMA CINEMARK;-20.76;DEBITO
13/07/2024;PAGAMENTO ALUGUEL;-748.39;DEBITO
14/07/2024;RESTAURANTE BOM SABOR;-332.39;DEBITO
16/07/2024;DEBITO AUTOMATICO - SEGURO DE VIDA;-123.19;DEBITO
19/07/2024;IFOOD PEDIDO;-695.06;DEBITO
21/07/2024;RESTAURANTE BOM SABOR;-521.06;DEBITO
22/07/2024;ASSINATURA NETFLIX;-459.56;DEBITO
23/07/2024;DEBITO AUTOMATICO - SEGURO DE VIDA;-672.25;DEBITO
24/07/2024;COMPRA NO SHOPPING IGUATEMI;-101.52;DEBITO
26/07/2024;IFOOD PEDIDO;-403.9;DEBITO
27/07/2024;LOJA DE ROUPAS RENNER;-436.49;DEBITO
30/07/2024;PAGAMENTO ALUGUEL;-495.07;DEBITO
02/08/2024;CINEMA CINEMARK;-24.06;DEBITO
04/08/2024;IFOOD PEDIDO;-27.58;DEBITO
07/08/2024;PADARIA PÃO QUENTE;-465.29;DEBITO
09/08/2024;IFOOD PEDIDO;-281.95;DEBITO
12/08/2024;POSTO IPIRANGA - COMBUSTIVEL;-668.5;DEBITO
14/08/2024;COMPRA NO SHOPPING IGUATEMI;-415.76;DEBITO
17/08/2024;PAGAMENTO CONTA DE AGUA - SABESP;-596.24;DEBITO
18/08/2024;ACADEMIA SMART FIT;-311.18;DEBITO
